Make,Model,Build Year,Engine Size,Transmission,Mileage [km],Fuel,Fuel efficiency,Price [EUR]
Audi,Q7,2016,4,Semi-Auto,74979,Diesel,39.2,47995
Audi,A3,2019,2,Manual,16,Diesel,56.5,23485
Audi,A5,2018,2,Semi-Auto,22652,Petrol,45.6,23998
Audi,A5,2015,2,Manual,21419,Diesel,57.6,17998
Audi,A6,2018,2,Semi-Auto,16,Diesel,50.4,28985
Audi,RS6,2015,4,Semi-Auto,33760,Petrol,29.4,46000
Audi,A6,2018,2,Semi-Auto,25100,Diesel,50.4,26995
Audi,A6,2019,2,Automatic,8735,Diesel,47.9,33985
Audi,Q2,2019,1.5,Automatic,4360,Petrol,40.9,30985
Audi,Q7,2019,3,Automatic,10335,Diesel,33.2,52985
Audi,A1,2017,1,Manual,17726,Petrol,67.3,12698
Audi,Q3,2017,1.4,Manual,27205,Petrol,51.4,17298
Audi,A4,2017,2,Manual,46341,Petrol,49.6,16498
Audi,A4,2017,1.4,Manual,37589,Petrol,50.4,16798
Audi,Q5,2013,2,Manual,80490,Petrol,37.7,15998
Audi,Q8,2018,3,Semi-Auto,13596,Diesel,32.8,63985
Audi,A6,2018,2,Semi-Auto,2880,Diesel,50.4,27985
Audi,A4,2018,1.4,Semi-Auto,16,Petrol,53.3,19485
Audi,A4,2018,1.4,Manual,16,Petrol,52.3,20985
Audi,A3,2018,1.6,Automatic,10867,Diesel,52.3,22285
Audi,Q3,2014,2,Semi-Auto,56996,Diesel,47.9,14500
Audi,A3,2017,2,Semi-Auto,26875,Petrol,41.5,25000
Audi,Q3,2017,1.4,Manual,59860,Petrol,51.4,15800
Audi,A3,2013,2,Semi-Auto,71448,Diesel,58.9,13500
Audi,Q3,2014,2,Manual,127737,Diesel,50.4,12000
Audi,A3,2015,2,Semi-Auto,99449,Diesel,57.6,13800
Audi,A1,2016,1,Manual,16880,Petrol,67.3,11000
Audi,A3,2018,2,Manual,30571,Petrol,49.6,19995
Audi,A1,2016,1,Manual,30410,Petrol,67.3,11650
Audi,A3,2014,2,Manual,81898,Diesel,68.9,11850
Audi,A6,2013,2,Manual,78841,Diesel,29.7,12495
Audi,A1,2015,2,Manual,37137,Petrol,39.8,15995
Audi,Q7,2020,4,Semi-Auto,1329,Diesel,29.4,82995
Audi,A4,2019,2,Semi-Auto,9633,Petrol,38.2,25990
Audi,A6,2019,2,Semi-Auto,4790,Diesel,47.9,30995
Audi,Q5,2019,2,Automatic,12185,Diesel,39.2,34985
Audi,Q3,2019,2,Manual,4915,Diesel,42.8,31995
Audi,A4,2019,2,Automatic,35,Petrol,38.7,29985
Audi,A4,2019,2,Automatic,3620,Diesel,51.4,28485
Audi,Q5,2016,2,Semi-Auto,33060,Diesel,47.1,21498
Audi,Q5,2019,2,Automatic,16,Diesel,39.2,32895
Audi,A5,2016,3,Semi-Auto,30294,Petrol,35.8,22998
Audi,Q5,2019,2,Semi-Auto,45,Petrol,32.1,35998
Audi,Q7,2016,3,Automatic,62194,Diesel,47.9,29985
Audi,A3,2014,2,Manual,41454,Petrol,40.4,16485
Audi,TT,2016,2,Manual,45699,Diesel,62.8,19485
Audi,A1,2015,1.4,Manual,27598,Petrol,56.5,13495
Audi,A3,2016,1.4,Manual,47908,Petrol,60.1,14995
Audi,Q5,2017,3,Semi-Auto,12552,Petrol,34,39995
Audi,Q5,2015,3,Semi-Auto,97504,Diesel,42.8,22990
Audi,A1,2017,1.4,Manual,33258,Petrol,57.6,12495
Audi,A3,2019,1.6,Automatic,3632,Diesel,52.3,24985
Audi,A3,2019,1.6,Manual,6499,Diesel,51.4,24485
Audi,A3,2016,1.4,Manual,34177,Petrol,52.3,16485
Audi,Q3,2016,2,Manual,27265,Diesel,49.6,20485
Audi,A4,2018,1.4,Automatic,28978,Petrol,49.6,24985
Audi,A4,2017,2,Semi-Auto,47712,Diesel,62.8,19995
Audi,A5,2014,3,Semi-Auto,120931,Petrol,34.9,16000
Audi,Q3,2014,2,Semi-Auto,54452,Diesel,47.9,14998
Audi,A3,2015,2,Manual,69150,Diesel,67.3,13995
Audi,A4,2019,2,Semi-Auto,42,Diesel,47.9,27990
Audi,A1,2016,1,Manual,28083,Petrol,67.3,11995
Audi,A3,2018,1.5,Manual,28233,Petrol,56.5,15995
Audi,A3,2020,2,Semi-Auto,505,Petrol,34.9,35995
Audi,A1,2016,1.4,Manual,40241,Petrol,58.9,13585
Audi,A6,2019,2,Semi-Auto,5274,Diesel,47.9,31985
Audi,A7,2019,3,Automatic,2068,Diesel,39.2,32985
Audi,A6,2019,2,Automatic,7152,Diesel,47.9,30985
Audi,A4,2020,2,Semi-Auto,11260,Petrol,38.2,34798
Audi,A4,2020,2,Semi-Auto,10854,Diesel,45.6,40780
Audi,Q7,2015,3,Semi-Auto,34183,Diesel,47.9,34995
Audi,A4,2017,2,Manual,44077,Diesel,64.2,18995
Audi,A1,2016,1,Manual,47116,Petrol,67.3,12995
Audi,A1,2016,1.4,Manual,33636,Petrol,56.5,14495
Audi,A1,2017,1,Manual,39237,Petrol,67.3,12995
Audi,TT,2017,2,Semi-Auto,18698,Petrol,42.8,24995
Audi,A3,2019,1.5,Semi-Auto,5485,Petrol,43.5,20985
Audi,Q5,2016,3,Semi-Auto,48547,Diesel,42.2,31995
Audi,A4,2015,2,Manual,43469,Diesel,62.8,13995
Audi,A4,2020,2,Manual,11997,Petrol,40.9,31985
Audi,A6,2019,3,Semi-Auto,32,Diesel,55.4,29490
Audi,A4,2019,2,Semi-Auto,7693,Petrol,40.9,20495
Audi,Q3,2016,2,Semi-Auto,64769,Petrol,40.4,21995
Audi,TT,2019,2,Semi-Auto,19823,Petrol,40.9,24995
Audi,Q2,2018,1.4,Manual,26603,Petrol,49.6,23995
Audi,Q3,2017,2,Semi-Auto,32301,Petrol,42.2,22995
Audi,A3,2016,1,Manual,23171,Petrol,60.1,15995
Audi,A3,2016,2,Semi-Auto,31263,Petrol,47.9,19995
Audi,RS4,2013,4.2,Semi-Auto,45630,Petrol,26.4,26995
Audi,Q8,2019,3,Semi-Auto,26363,Diesel,33.6,49995
